CET No,Marks,Rank
714011318,192.0,121
483011188,192.0,121
206011095,192.0,121
694011139,192.0,121
490011355,192.0,121
484011422,192.0,121
490011473,192.0,121
489011194,192.0,121
718011339,192.0,121
486011368,192.0,121
702011111,192.0,121
709011213,192.0,121
709011044,192.0,121
719011181,192.0,121
348001028,192.0,121
715011162,192.0,121
280011179,188.0,280
338011350,188.0,280
564011028,188.0,280
397011167,188.0,280
412011074,188.0,280
416011095,188.0,280
416011134,188.0,280
416011227,188.0,280
416011291,188.0,280
586011042,188.0,280
266011385,188.0,280
294011166,188.0,280
294011285,188.0,280
294011604,188.0,280
294011710,188.0,280
114011294,188.0,280
118011364,188.0,280
118011520,188.0,280
119011111,188.0,280
121011060,188.0,280
121011383,188.0,280
124011469,188.0,280
139011204,188.0,280
268011102,188.0,280
293011244,188.0,280
293011574,188.0,280
293011633,188.0,280
293011699,188.0,280
293011731,188.0,280
719011062,188.0,280
720011057,188.0,280
214011189,188.0,280
159011235,188.0,280
153011270,188.0,280
219011126,188.0,280
157011295,188.0,280
719011054,188.0,280
695011110,188.0,280
718011393,188.0,280
484011344,188.0,280
720011200,188.0,280
697011332,188.0,280
706011008,188.0,280
706011302,188.0,280
477011351,188.0,280
641011378,188.0,280
627011185,188.0,280
631011458,188.0,280
569011574,188.0,280
479011121,188.0,280
476011222,188.0,280
482011201,188.0,280
483011071,188.0,280
472011276,188.0,280
474011048,188.0,280
490011360,188.0,280
488011200,188.0,280
482011395,188.0,280
483011416,188.0,280
476011149,188.0,280
482011137,188.0,280
482011373,188.0,280
863011057,188.0,280
473011214,188.0,280
269011159,188.0,280
282011219,188.0,280
155011077,188.0,280
208011275,188.0,280
153011479,188.0,280
151011387,188.0,280
208011048,188.0,280
145011199,188.0,280
493011135,188.0,280
363011121,188.0,280
495011405,188.0,280
206011408,188.0,280
158011071,188.0,280
153011454,188.0,280
160011339,188.0,280
270011270,188.0,280
151011085,188.0,280
218011168,188.0,280
655011601,188.0,280
281011161,188.0,280
570011064,188.0,280
162011225,188.0,280
629011331,188.0,280
639011150,188.0,280
623011390,188.0,280
569011350,188.0,280
629011106,188.0,280
677011305,188.0,280
619011158,188.0,280
625011144,188.0,280
642011126,188.0,280
623011344,188.0,280
270011781,188.0,280
641011386,188.0,280
620011092,188.0,280
653011111,188.0,280
649011207,188.0,280
627011144,188.0,280
644011381,188.0,280
655011590,188.0,280
594011051,188.0,280
620011107,188.0,280
641011148,188.0,280
644011122,188.0,280
280011424,188.0,280
647011410,188.0,280
714011182,188.0,280
718011169,188.0,280
515011236,188.0,280
488011307,188.0,280
546011040,188.0,280
710011073,188.0,280
486011456,188.0,280
699011255,188.0,280
716011097,188.0,280
710011188,188.0,280
715011360,188.0,280
490011005,188.0,280
484011323,188.0,280
586011349,188.0,280
627011115,188.0,280
161011200,188.0,280
284011234,188.0,280
640011133,188.0,280
652011271,188.0,280
282011059,188.0,280
647011177,188.0,280
422011070,188.0,280
422011176,188.0,280
415011108,188.0,280
415011142,188.0,280
707011072,188.0,280
244011494,188.0,280
713011374,188.0,280
484011296,188.0,280
716011220,188.0,280
718011242,188.0,280
718011248,188.0,280
133011283,188.0,280
355011041,188.0,280
415011304,188.0,280
416011064,188.0,280
416011075,188.0,280
165011062,188.0,280
487011341,188.0,280
711011230,188.0,280
711011070,188.0,280
693011543,188.0,280
799011381,188.0,280
418011128,188.0,280
418011180,188.0,280
418011293,188.0,280
418011318,188.0,280
418011346,188.0,280
418011447,188.0,280
420011007,188.0,280
420011094,188.0,280
420011141,188.0,280
420011215,188.0,280
420011310,188.0,280
420011318,188.0,280
421011253,188.0,280
421011323,188.0,280
411011055,188.0,280
411011070,188.0,280
411011080,188.0,280
125011235,188.0,280
127011389,188.0,280
128011353,188.0,280
133011293,188.0,280
139011179,188.0,280
270011143,188.0,280
709011145,188.0,280
718011244,188.0,280
706011181,188.0,280
719011196,188.0,280
195011240,188.0,280
708011090,188.0,280
414011368,188.0,280
414011471,188.0,280
415011054,188.0,280
294011724,188.0,280
297011483,188.0,280
303011183,188.0,280
408011041,188.0,280
408011045,188.0,280
409011254,188.0,280
409011419,188.0,280
409011470,188.0,280
410011101,188.0,280
410011217,188.0,280
410011254,188.0,280
410011257,188.0,280
411011054,188.0,280
412011118,188.0,280
412011239,188.0,280
413011043,188.0,280
413011083,188.0,280
413011343,188.0,280
414011122,188.0,280
414011126,188.0,280
414011132,188.0,280
169011065,188.0,280
483011159,188.0,280
486011109,188.0,280
473011426,188.0,280
439011220,188.0,280
478011271,188.0,280
481011053,188.0,280
486011121,188.0,280
416011336,188.0,280
416011392,188.0,280
417011116,188.0,280
417011178,188.0,280
417011221,188.0,280
417011244,188.0,280
418011047,188.0,280
411011185,188.0,280
411011217,188.0,280
411011284,188.0,280
411011439,188.0,280
348011097,184.0,505
717011301,184.0,505
717011160,184.0,505
699011122,184.0,505
483011059,184.0,505
484011538,184.0,505
858011387,184.0,505
445011316,184.0,505
492011444,184.0,505
416011301,184.0,505
416011335,184.0,505
416011459,184.0,505
417011001,184.0,505
417011013,184.0,505
417011097,184.0,505
418011063,184.0,505
418011299,184.0,505
418011315,184.0,505
418011435,184.0,505
473011216,184.0,505
480011183,184.0,505
109011033,184.0,505
479011039,184.0,505
713011245,184.0,505
490011453,184.0,505
179011047,184.0,505
483011208,184.0,505
490011381,184.0,505
472011280,184.0,505
488011505,184.0,505
489011220,184.0,505
489011260,184.0,505
475011407,184.0,505
221011176,184.0,505
222011036,184.0,505
487011028,184.0,505
490011409,184.0,505
473011436,184.0,505
480011240,184.0,505
472011139,184.0,505
487011262,184.0,505
472011332,184.0,505
475011097,184.0,505
486011128,184.0,505
486011255,184.0,505
487011359,184.0,505
470011044,184.0,505
473011181,184.0,505
484011187,184.0,505
475011523,184.0,505
484011094,184.0,505
270011710,184.0,505
622011263,184.0,505
408011034,184.0,505
285011209,184.0,505
474011018,184.0,505
638011185,184.0,505
620011304,184.0,505
287011225,184.0,505
641011391,184.0,505
631011180,184.0,505
625011201,184.0,505
299011196,184.0,505
634011161,184.0,505
287011001,184.0,505
489011066,184.0,505
478011207,184.0,505
266011579,184.0,505
634011392,184.0,505
628011362,184.0,505
641011361,184.0,505
647011393,184.0,505
298011391,184.0,505
623011118,184.0,505
663011121,184.0,505
656011297,184.0,505
655011139,184.0,505
634011418,184.0,505
161011558,184.0,505
231011143,184.0,505
290011326,184.0,505
644011324,184.0,505
649011330,184.0,505
628011277,184.0,505
237011520,184.0,505
569011057,184.0,505
652011146,184.0,505
624011181,184.0,505
272011084,184.0,505
628011428,184.0,505
630011414,184.0,505
287011037,184.0,505
645011274,184.0,505
626011297,184.0,505
647011323,184.0,505
628011298,184.0,505
625011106,184.0,505
122011320,184.0,505
643011329,184.0,505
505011421,184.0,505
503011295,184.0,505
505011020,184.0,505
505011272,184.0,505
504011267,184.0,505
497011236,184.0,505
713011269,184.0,505
705011178,184.0,505
477011270,184.0,505
715011181,184.0,505
716011114,184.0,505
629011274,184.0,505
656011111,184.0,505
621011394,184.0,505
269011067,184.0,505
643011185,184.0,505
720011148,184.0,505
717011469,184.0,505
486011296,184.0,505
498011361,184.0,505
504011438,184.0,505
714011244,184.0,505
490011278,184.0,505
716011248,184.0,505
488011529,184.0,505
709011184,184.0,505
148011147,184.0,505
147011274,184.0,505
156011023,184.0,505
699011032,184.0,505
527011088,184.0,505
716011243,184.0,505
209011335,184.0,505
206011327,184.0,505
149011355,184.0,505
160011079,184.0,505
211011379,184.0,505
154011167,184.0,505
158011292,184.0,505
160011496,184.0,505
160011250,184.0,505
211011276,184.0,505
212011556,184.0,505
213011024,184.0,505
155011057,184.0,505
509011133,184.0,505
506011372,184.0,505
363011027,184.0,505
717011141,184.0,505
484011225,184.0,505
719011138,184.0,505
337011143,184.0,505
498011179,184.0,505
505011296,184.0,505
151011315,184.0,505
156011171,184.0,505
149011263,184.0,505
211011171,184.0,505
212011540,184.0,505
149011343,184.0,505
136011154,184.0,505
205011191,184.0,505
212011025,184.0,505
151011296,184.0,505
494011081,184.0,505
362011032,184.0,505
694011123,184.0,505
712011265,184.0,505
707011374,184.0,505
711011194,184.0,505
487011268,184.0,505
710011423,184.0,505
707011252,184.0,505
714011018,184.0,505
714011511,184.0,505
524011346,184.0,505
712011158,184.0,505
716011270,184.0,505
706011340,184.0,505
718011038,184.0,505
408011200,184.0,505
114011217,184.0,505
118011064,184.0,505
118011454,184.0,505
119011023,184.0,505
120011227,184.0,505
124011240,184.0,505
128011292,184.0,505
128011391,184.0,505
129011327,184.0,505
130011185,184.0,505
134011460,184.0,505
139011209,184.0,505
169011229,184.0,505
267011343,184.0,505
497011249,184.0,505
411011039,184.0,505
293011117,184.0,505
293011356,184.0,505
293011515,184.0,505
294011045,184.0,505
294011386,184.0,505
294011500,184.0,505
294011591,184.0,505
294011605,184.0,505
298011130,184.0,505
299011464,184.0,505
301011183,184.0,505
308011403,184.0,505
408011152,184.0,505
408011163,184.0,505
408011168,184.0,505
408011373,184.0,505
408011384,184.0,505
408011557,184.0,505
116011591,184.0,505
133011292,184.0,505
134011064,184.0,505
409011006,184.0,505
409011121,184.0,505
409011305,184.0,505
409011378,184.0,505
409011386,184.0,505
410011091,184.0,505
410011235,184.0,505
410011305,184.0,505
410011306,184.0,505
411011035,184.0,505
397011354,184.0,505
427011416,184.0,505
594011037,184.0,505
412011063,184.0,505
412011132,184.0,505
412011284,184.0,505
412011321,184.0,505
413011012,184.0,505
413011226,184.0,505
414011137,184.0,505
414011254,184.0,505
414011306,184.0,505
414011312,184.0,505
414011349,184.0,505
408011342,184.0,505
408011357,184.0,505
416011080,184.0,505
416011122,184.0,505
416011188,184.0,505
416011225,184.0,505
416011233,184.0,505
416011295,184.0,505
411011190,184.0,505
411011213,184.0,505
411011425,184.0,505
411011432,184.0,505
412011061,184.0,505
272011308,184.0,505
372011126,184.0,505
373011052,184.0,505
382011043,184.0,505
382011178,184.0,505
420011116,184.0,505
420011278,184.0,505
421011064,184.0,505
421011254,184.0,505
421011303,184.0,505
422011162,184.0,505
414011357,184.0,505
414011413,184.0,505
414011424,184.0,505
414011433,184.0,505
415011035,184.0,505
415011049,184.0,505
415011092,184.0,505
415011197,184.0,505
415011340,184.0,505
416011055,184.0,505
490011198,184.0,505
340011200,184.0,505
331011184,184.0,505
330011056,184.0,505
422011266,184.0,505
545011067,184.0,505
716011370,184.0,505
697011231,184.0,505
719011109,184.0,505
717011253,184.0,505
717011568,184.0,505
699011432,184.0,505
711011228,184.0,505
173011127,184.0,505
715011254,184.0,505
488011403,184.0,505
206011185,184.0,505
586011474,184.0,505
242011577,184.0,505
305011468,184.0,505
301011534,184.0,505
281011803,184.0,505
281011804,184.0,505
422011182,184.0,505
422011213,184.0,505
282011051,184.0,505
190011053,184.0,505
718011276,184.0,505
484011446,184.0,505
707011396,184.0,505
488011494,184.0,505
706011318,184.0,505
507011131,180.0,812
165011041,180.0,812
553011057,180.0,812
568011100,180.0,812
502011104,180.0,812
115011291,180.0,812
502011138,180.0,812
356011357,180.0,812
413011256,180.0,812
119011514,180.0,812
497011315,180.0,812
508011058,180.0,812
356011447,180.0,812
718011089,180.0,812
697011238,180.0,812
488011280,180.0,812
131011287,180.0,812
128011374,180.0,812
124011236,180.0,812
124011028,180.0,812
123011394,180.0,812
294011566,180.0,812
294011561,180.0,812
294011546,180.0,812
294011530,180.0,812
294011422,180.0,812
301011285,180.0,812
593011536,180.0,812
799011484,180.0,812
294011227,180.0,812
294011199,180.0,812
293011723,180.0,812
314011333,180.0,812
304011427,180.0,812
304011359,180.0,812
299011482,180.0,812
298011112,180.0,812
293011083,180.0,812
293011041,180.0,812
280011237,180.0,812
269011047,180.0,812
135011541,180.0,812
135011524,180.0,812
135011271,180.0,812
134011470,180.0,812
133011304,180.0,812
133011302,180.0,812
133011018,180.0,812
116011301,180.0,812
115011455,180.0,812
115011275,180.0,812
115011210,180.0,812
114011265,180.0,812
408011406,180.0,812
408011386,180.0,812
408011275,180.0,812
408011273,180.0,812
408011248,180.0,812
801011094,180.0,812
308011391,180.0,812
408011196,180.0,812
408011137,180.0,812
408011082,180.0,812
385011092,180.0,812
410011307,180.0,812
410011214,180.0,812
410011115,180.0,812
409011515,180.0,812
409011453,180.0,812
409011291,180.0,812
409011128,180.0,812
409011104,180.0,812
409011102,180.0,812
409011072,180.0,812
121011161,180.0,812
119011522,180.0,812
117011192,180.0,812
117011074,180.0,812
116011503,180.0,812
116011485,180.0,812
412011292,180.0,812
412011258,180.0,812
412011229,180.0,812
412011192,180.0,812
412011185,180.0,812
412011084,180.0,812
412011069,180.0,812
412011041,180.0,812
411011351,180.0,812
411011265,180.0,812
297011148,180.0,812
294011582,180.0,812
411011028,180.0,812
411011005,180.0,812
410011347,180.0,812
410011312,180.0,812
281011237,180.0,812
136011033,180.0,812
411011062,180.0,812
411011044,180.0,812
416011496,180.0,812
416011439,180.0,812
416011322,180.0,812
416011281,180.0,812
416011280,180.0,812
116011216,180.0,812
408011489,180.0,812
408011442,180.0,812
413011082,180.0,812
413011058,180.0,812
413011044,180.0,812
412011302,180.0,812
413011264,180.0,812
413011123,180.0,812
418011550,180.0,812
418011547,180.0,812
418011421,180.0,812
418011408,180.0,812
430011115,180.0,812
426011120,180.0,812
415011138,180.0,812
397011512,180.0,812
393011173,180.0,812
383011238,180.0,812
381011308,180.0,812
380011465,180.0,812
375011030,180.0,812
374011112,180.0,812
417011062,180.0,812
416011515,180.0,812
849011357,180.0,812
593011263,180.0,812
498011311,180.0,812
422011321,180.0,812
117011103,180.0,812
416011181,180.0,812
416011093,180.0,812
415011157,180.0,812
414011294,180.0,812
414011133,180.0,812
414011048,180.0,812
413011309,180.0,812
413011296,180.0,812
413011291,180.0,812
420011162,180.0,812
153011072,180.0,812
205011322,180.0,812
149011034,180.0,812
211011738,180.0,812
214011382,180.0,812
418011245,180.0,812
418011175,180.0,812
418011071,180.0,812
418011012,180.0,812
417011356,180.0,812
417011327,180.0,812
417011326,180.0,812
417011274,180.0,812
417011104,180.0,812
417011090,180.0,812
209011246,180.0,812
149011106,180.0,812
153011415,180.0,812
215011386,180.0,812
158011326,180.0,812
153011328,180.0,812
422011319,180.0,812
422011264,180.0,812
421011185,180.0,812
421011161,180.0,812
421011141,180.0,812
421011132,180.0,812
420011331,180.0,812
420011326,180.0,812
420011275,180.0,812
420011228,180.0,812
268011252,180.0,812
212011162,180.0,812
154011457,180.0,812
144011127,180.0,812
215011252,180.0,812
158011504,180.0,812
207011060,180.0,812
147011149,180.0,812
206011282,180.0,812
160011159,180.0,812
152011145,180.0,812
149011322,180.0,812
157011399,180.0,812
149011123,180.0,812
158011297,180.0,812
158011268,180.0,812
472011333,180.0,812
484011202,180.0,812
484011172,180.0,812
474011204,180.0,812
480011368,180.0,812
477011517,180.0,812
473011514,180.0,812
482011084,180.0,812
476011224,180.0,812
475011325,180.0,812
480011127,180.0,812
472011021,180.0,812
785011109,180.0,812
631011491,180.0,812
212011528,180.0,812
151011347,180.0,812
489011058,180.0,812
265011377,180.0,812
477011426,180.0,812
474011052,180.0,812
483011257,180.0,812
486011018,180.0,812
480011126,180.0,812
487011190,180.0,812
475011128,180.0,812
477011570,180.0,812
473011457,180.0,812
483011554,180.0,812
482011491,180.0,812
488011319,180.0,812
472011121,180.0,812
474011145,180.0,812
635011236,180.0,812
641011082,180.0,812
621011130,180.0,812
641011324,180.0,812
627011180,180.0,812
570011332,180.0,812
640011218,180.0,812
484011336,180.0,812
477011521,180.0,812
473011402,180.0,812
483011449,180.0,812
489011256,180.0,812
473011464,180.0,812
800011658,180.0,812
101011160,180.0,812
475011481,180.0,812
655011136,180.0,812
870011600,180.0,812
619011271,180.0,812
631011134,180.0,812
161011238,180.0,812
641011322,180.0,812
644011334,180.0,812
280011442,180.0,812
636011224,180.0,812
638011280,180.0,812
621011496,180.0,812
628011403,180.0,812
285011030,180.0,812
640011082,180.0,812
643011395,180.0,812
635011169,180.0,812
717011074,180.0,812
647011138,180.0,812
679011253,180.0,812
641011151,180.0,812
621011293,180.0,812
629011236,180.0,812
647011133,180.0,812
655011328,180.0,812
644011495,180.0,812
634011142,180.0,812
298011175,180.0,812
631011143,180.0,812
652011266,180.0,812
644011407,180.0,812
297011491,180.0,812
276011744,180.0,812
706011178,180.0,812
631011185,180.0,812
270011764,180.0,812
289011290,180.0,812
639011242,180.0,812
644011351,180.0,812
656011132,180.0,812
634011458,180.0,812
697011173,180.0,812
714011131,180.0,812
698011128,180.0,812
714011415,180.0,812
716011171,180.0,812
712011096,180.0,812
490011065,180.0,812
172011139,180.0,812
695011127,180.0,812
483011428,180.0,812
484011342,180.0,812
717011255,180.0,812
483011447,180.0,812
702011235,180.0,812
484011372,180.0,812
484011325,180.0,812
487011280,180.0,812
706011056,180.0,812
703011063,180.0,812
170011467,180.0,812
716011002,180.0,812
693011232,180.0,812
720011199,180.0,812
713011006,180.0,812
719011179,180.0,812
713011090,180.0,812
715011289,180.0,812
716011181,180.0,812
486011033,180.0,812
719011131,180.0,812
717011078,180.0,812
738011491,180.0,812
704011120,180.0,812
489011264,180.0,812
719011184,180.0,812
483011375,180.0,812
713011261,180.0,812
718011367,180.0,812
712011167,180.0,812
437011170,180.0,812
715011051,180.0,812
181011133,180.0,812
714011248,180.0,812
487011197,180.0,812
710011184,180.0,812
699011523,180.0,812
523011054,180.0,812
714011317,180.0,812
663011138,180.0,812
716011312,180.0,812
714011399,180.0,812
523011248,180.0,812
710011178,180.0,812
708011096,180.0,812
710011125,180.0,812
488011480,180.0,812
346011204,180.0,812
345011269,180.0,812
439011276,180.0,812
342011151,180.0,812
325011343,180.0,812
263011566,180.0,812
672011460,180.0,812
271011618,180.0,812
338011067,180.0,812
222011264,180.0,812
503011039,180.0,812
193011037,180.0,812
355011069,180.0,812
364011229,180.0,812
504011305,180.0,812
361011033,180.0,812
293011708,180.0,812
293011529,180.0,812
293011494,180.0,812
293011451,180.0,812
293011386,180.0,812
293011165,180.0,812
293011101,180.0,812
293011099,180.0,812
202011145,180.0,812
205011255,180.0,812
221011072,180.0,812
221011056,180.0,812
206011367,180.0,812
156011049,180.0,812
221011112,180.0,812
349011506,180.0,812
541011047,176.0,1180
566011244,176.0,1180
642011297,176.0,1180
677011245,176.0,1180
644011378,176.0,1180
643011331,176.0,1180
647011084,176.0,1180
287011238,176.0,1180
620011330,176.0,1180
281011220,176.0,1180
634011403,176.0,1180
620011162,176.0,1180
158011501,176.0,1180
151011350,176.0,1180
270011153,176.0,1180
159011196,176.0,1180
219011161,176.0,1180
215011320,176.0,1180
210011400,176.0,1180
208011324,176.0,1180
147011354,176.0,1180
206011232,176.0,1180
205011225,176.0,1180
566011080,176.0,1180
567011225,176.0,1180
546011327,176.0,1180
546011333,176.0,1180
550011238,176.0,1180
563011224,176.0,1180
547011136,176.0,1180
549011355,176.0,1180
299011004,176.0,1180
148011343,176.0,1180
209011323,176.0,1180
152011095,176.0,1180
206011081,176.0,1180
159011172,176.0,1180
221011380,176.0,1180
205011091,176.0,1180
157011123,176.0,1180
625011170,176.0,1180
573011134,176.0,1180
634011134,176.0,1180
627011127,176.0,1180
577011439,176.0,1180
647011081,176.0,1180
641011182,176.0,1180
620011112,176.0,1180
644011385,176.0,1180
624011159,176.0,1180
290011011,176.0,1180
269011359,176.0,1180
158011020,176.0,1180
158011012,176.0,1180
208011256,176.0,1180
222011106,176.0,1180
221011200,176.0,1180
161011524,176.0,1180
247011282,176.0,1180
211011779,176.0,1180
623011180,176.0,1180
635011078,176.0,1180
655011245,176.0,1180
280011461,176.0,1180
638011078,176.0,1180
640011156,176.0,1180
652011391,176.0,1180
161011830,176.0,1180
621011485,176.0,1180
285011071,176.0,1180
287011031,176.0,1180
644011409,176.0,1180
636011137,176.0,1180
212011738,176.0,1180
153011020,176.0,1180
219011163,176.0,1180
214011293,176.0,1180
153011058,176.0,1180
211011245,176.0,1180
623011284,176.0,1180
638011284,176.0,1180
634011283,176.0,1180
620011277,176.0,1180
291011347,176.0,1180
267011254,176.0,1180
269011114,176.0,1180
625011113,176.0,1180
642011360,176.0,1180
233011170,176.0,1180
287011099,176.0,1180
630011647,176.0,1180
162011209,176.0,1180
271011057,176.0,1180
643011393,176.0,1180
630011646,176.0,1180
212011151,176.0,1180
160011077,176.0,1180
284011065,176.0,1180
655011541,176.0,1180
647011491,176.0,1180
634011131,176.0,1180
158011051,176.0,1180
153011161,176.0,1180
154011228,176.0,1180
208011274,176.0,1180
213011373,176.0,1180
142011329,176.0,1180
155011207,176.0,1180
154011316,176.0,1180
420011281,176.0,1180
420011285,176.0,1180
420011340,176.0,1180
420011379,176.0,1180
592011350,176.0,1180
870011471,176.0,1180
211011787,176.0,1180
209011034,176.0,1180
214011172,176.0,1180
153011468,176.0,1180
209011284,176.0,1180
159011164,176.0,1180
872011386,176.0,1180
417011231,176.0,1180
417011237,176.0,1180
417011315,176.0,1180
417011329,176.0,1180
418011361,176.0,1180
418011419,176.0,1180
418011462,176.0,1180
418011551,176.0,1180
420011098,176.0,1180
420011105,176.0,1180
415011008,176.0,1180
415011098,176.0,1180
415011130,176.0,1180
415011170,176.0,1180
421011016,176.0,1180
421011092,176.0,1180
421011256,176.0,1180
422011045,176.0,1180
493011312,176.0,1180
503011301,176.0,1180
416011177,176.0,1180
416011356,176.0,1180
416011370,176.0,1180
417011082,176.0,1180
417011102,176.0,1180
417011190,176.0,1180
411011204,176.0,1180
411011366,176.0,1180
411011498,176.0,1180
412011312,176.0,1180
417011337,176.0,1180
418011054,176.0,1180
418011089,176.0,1180
418011199,176.0,1180
418011264,176.0,1180
418011270,176.0,1180
414011172,176.0,1180
414011211,176.0,1180
414011227,176.0,1180
414011229,176.0,1180
414011301,176.0,1180
414011317,176.0,1180
409011317,176.0,1180
409011368,176.0,1180
409011434,176.0,1180
409011507,176.0,1180
415011200,176.0,1180
416011013,176.0,1180
416011019,176.0,1180
416011081,176.0,1180
416011088,176.0,1180
416011104,176.0,1180
410011121,176.0,1180
410011302,176.0,1180
384011023,176.0,1180
385011464,176.0,1180
386011081,176.0,1180
397011526,176.0,1180
412011222,176.0,1180
427011178,176.0,1180
595011022,176.0,1180
811011272,176.0,1180
838011218,176.0,1180
396011045,176.0,1180
396011272,176.0,1180
396011342,176.0,1180
397011148,176.0,1180
397011483,176.0,1180
149011353,176.0,1180
156011010,176.0,1180
380011445,176.0,1180
381011195,176.0,1180
382011299,176.0,1180
383011025,176.0,1180
383011221,176.0,1180
